index,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
22,Avahi laniger,NA,Mammals,"EN-US FWS: June 2, 1970",Malagasy Republic (Madagascar)
23,Mastomys awashensis,Awash Mastomys,Mammals,VU-IUCN: 2008,Ethiopia
24,Daubentonia madagascariensis,NA,Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970",Malagasy Republic (Madagascar)
25,Myosorex babaulti,NA,Mammals,NT-IUCN: 2008,"Burundi, Democratic Republic of Congo (Zaire), Uganda"
26,Lepilemur dorsalis,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
27,Hylomyscus baeri,Baer's Hylomyscus,Mammals,EN-IUCN: 2008,"Cote d'Ivoire, Ghana, Sierra Leone"
28,Crocidura baileyi,NA,Mammals,EN-IUCN: 2008,Ethiopia
29,Chlorocebus djamdjamensis,"Bale Mountains Grivet, Djam-djam, Cercopithecus aethiops ssp. djamdjamensis",Mammals,VU-IUCN: 2008,Ethiopia
30,Crocidura bottegoides,NA,Mammals,EN-IUCN: 2008,Ethiopia
31,Macaca sylvanus,Barbary Ape,Mammals,EN-IUCN: 2008,"Algeria, Gibraltar, Morocco"
32,Leptailurus serval constantina,Felis serval constantina,Mammals,"EN-US FWS: June 2, 1970",Algeria
33,Ammotragus lervia,"Aoudad, Uaddan",Mammals,VU-IUCN: 2008,"Africa, Middle East"
34,Otomys barbouri,NA,Mammals,EN-IUCN: 2008,"Kenya, Uganda"
35,Dorcatragus megalotis,NA,Mammals,VU-IUCN: 2008,"Ethiopia, Somalia"
36,Oryx beisa,Oryx gazella ssp. beisa,Mammals,NT-IUCN: 2008,"Djibouti, Ethiopia, Kenya, Somalia, Sudan, Tanzania"
37,Avahi cleesei,John Cleese's Avahi,Mammals,EN-IUCN: 2008,Madagascar
38,Tachyoryctes macrocephalus,NA,Mammals,EN-IUCN: 2008,Ethiopia
39,Sylvisorex isabellae,Isabella Shrew,Mammals,EN-IUCN: 2008,Equatorial Guinea
40,Rhynchocyon petersi,"Black And Rufous Sengi, Zanj Elephant Shrew",Mammals,VU-IUCN: 2008,"Kenya, Tanzania"
41,Colobus satanas,NA,Mammals,"EN-US FWS: October 19, 1976VU-IUCN: 2008","Cameroon, Equatorial Guinea, Gabon, Republic of Congo"
42,Lophocebus aterrimus,Cercocebus albigena ssp. aterrimus,Mammals,NT-IUCN: 2008,"Angola, Democratic Republic of Congo (Zaire)"
43,Eulemur macaco,NA,Mammals,VU-IUCN: 2008,Madagascar
44,Diceros bicornis,"4 subspecies endangered: South-central B. Rhinoceros (Diceros bicornis minor), South-western B. Rhinoceros (Diceros bicornis bicornis), E. African B. Rhinoceros (Diceros bicornis michaeli), W. African B. Rhinoceros (Diceros bicornis longipes)",Mammals,"CR-IUCN: 2008EN-US FWS: July 14, 1980",Sub-saharan Africa
45,Varecia variegata,NA,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008",Malagasy Republic (Madagascar)
46,Aepyceros melampus petersi,NA,Mammals,"EN-US FWS: June 2, 1970","Angola, Namibia"
47,Felis nigripes,Small-spotted Cat,Mammals,"EN-US FWS: June 14, 1976VU-IUCN: 2008",Southern Africa
48,Arvicanthis blicki,NA,Mammals,NT-IUCN: 2008,Ethiopia
49,Tragelaphus eurycerus,NA,Mammals,NT-IUCN: 2008,Africa
50,Damaliscus pygargus dorcas,NA,Mammals,"EN-US FWS: June 14, 1976",South Africa
